code,neighborhood,city,state,status,Camas de solteiro,Cama de casal,Cama Queen,Cama King,Sofa Cama Solteiro,Sofa Cama Casal,Travesseiros,Numero Quartos,Numero Banheiros,Numero Lavabos,Numero Hóspedes
OKA101,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA102,Campeche,Florianópolis,SC,Active,1,1,0,0,0,0,4,1,1,0,3
OKA105,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA106,Campeche,Florianópolis,SC,Active,0,0,1,0,1,0,2,1,1,0,3
OKA110,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA111,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA120,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA128,Campeche,Florianópolis,SC,Active,0,0,1,0,0,0,0,1,1,0,2
OKA131,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA134,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,2
OKA139,Campeche,Florianópolis,SC,Active,0,0,1,0,1,0,0,1,1,0,3
OKA141,Campeche,Florianópolis,SC,Active,0,1,0,0,0,1,4,1,1,0,4
OKA142,Campeche,Florianópolis,SC,Active,0,1,0,0,1,0,4,1,1,0,3
OKA204,Campeche,Florianópolis,SC,Active,1,1,0,0,0,0,3,1,1,0,4
OKA206,Campeche,Florianópolis,SC,Active,1,0,1,0,0,1,5,1,1,0,5
OKA210,Campeche,Florianópolis,SC,Active,1,0,1,0,1,0,3,1,1,0,3
OKA213,Campeche,Florianópolis,SC,Active,1,1,0,0,1,0,5,1,1,0,5
OKA216,Campeche,Florianópolis,SC,Active,1,0,1,0,1,0,3,1,1,0,3
OKA224,Campeche,Florianópolis,SC,Active,1,0,1,0,0,0,5,1,1,0,5
OKA233,Campeche,Florianópolis,SC,Active,1,0,1,0,0,1,5,1,1,0,5